timestamp,shift,line_id,machine_id,product_code,batch_id,operator_id,operator_experience,days_since_maintenance,maintenance_status,target_temp_c,actual_temp_c,humidity_percent,pressure_bar,vibration_mm_s,line_speed_units_min,window_minutes,throughput_units,defect_rate_percent,scrap_kg,downtime_minutes,energy_kwh,ambient_temp_c,quality_alert
2025-10-25T20:07:55.475814,Day,L1,L1-M1,P-PEEK,B251025-882,OP-5,expert,16.4,ok,73.7,77.8,43.1,5.04,3.0,136.7,12,1640,1.94,25.61,3.08,60.97,21.8,False
2025-10-25T20:08:55.475814,Night,L4,L4-M1,P-NYLON,B251025-475,OP-1,expert,0.0,ok,74.9,76.7,42.8,5.09,3.19,126.6,8,1013,1.82,17.21,6.3,50.56,21.8,False
2025-10-25T21:01:55.475814,Day,L3,L3-M6,P-PEEK,B251025-270,OP-1,expert,2.5,ok,72.5,72.0,50.2,5.07,3.66,140.7,10,1406,0.48,7.71,4.76,55.21,27.1,False
2025-10-25T21:05:55.475814,Swing,L1,L1-M1,P-ABS,B251025-484,OP-2,intermediate,30.7,overdue,72.7,72.5,44.2,5.46,4.21,91.9,12,1102,1.89,13.17,9.25,50.51,25.0,False
2025-10-25T21:32:55.475814,Day,L3,L3-M6,P-NYLON,B251025-755,OP-3,novice,8.6,ok,76.0,75.3,58.9,6.25,2.4,85.5,11,940,2.16,15.67,3.17,48.89,24.7,False
2025-10-25T21:47:55.475814,Night,L2,L2-M6,P-NYLON,B251025-573,OP-3,novice,9.8,ok,73.2,76.1,70.4,5.27,3.83,99.5,13,1293,3.8,36.45,4.55,54.83,28.7,False
2025-10-25T22:10:55.475814,Night,L1,L1-M5,P-PEEK,B251025-362,OP-2,intermediate,27.6,due_soon,73.1,73.0,58.8,6.07,3.79,110.2,15,1652,2.27,43.94,6.21,59.48,26.4,False
2025-10-25T23:00:55.475814,Night,L2,L2-M6,P-ABS,B251025-471,OP-5,expert,10.6,ok,76.0,77.1,45.4,6.1,2.76,137.7,14,1927,1.89,36.94,5.5,65.33,26.2,False
2025-10-25T23:04:55.475814,Day,L4,L4-M2,P-PP,B251025-169,OP-4,intermediate,34.7,overdue,75.6,77.6,50.5,5.63,5.63,112.9,8,903,3.55,30.99,10.02,49.11,23.2,True
2025-10-25T23:16:55.475814,Day,L2,L2-M2,P-NYLON,B251025-338,OP-1,expert,0.0,ok,75.5,74.7,59.1,5.53,2.82,116.7,15,1749,1.44,22.56,1.41,61.65,27.5,False
2025-10-25T23:40:55.475814,Swing,L4,L4-M1,P-PEEK,B251025-857,OP-2,intermediate,22.0,ok,73.4,75.4,45.6,5.3,3.14,88.9,15,1333,1.48,19.99,3.91,55.23,21.8,False
2025-10-26T00:22:55.475814,Night,L3,L3-M1,P-ABS,B251026-198,OP-4,intermediate,28.0,due_soon,73.9,73.9,54.0,5.24,3.74,123.4,12,1481,2.26,26.86,7.29,57.06,21.0,False
2025-10-26T01:13:55.475814,Day,L1,L1-M2,P-PP,B251026-627,OP-5,expert,17.3,ok,75.1,73.9,43.1,5.02,3.04,121.5,8,972,0.75,6.73,4.06,48.91,27.8,False
2025-10-26T01:57:55.475814,Night,L3,L3-M6,P-ABS,B251026-311,OP-2,intermediate,16.1,ok,75.3,75.9,60.2,5.92,3.23,132.5,11,1457,2.27,22.6,4.02,57.4,24.4,False
2025-10-26T03:44:55.475814,Day,L3,L3-M3,P-PEEK,B251026-885,OP-3,novice,33.1,overdue,75.8,75.3,46.0,5.96,4.54,102.4,9,921,3.02,31.47,8.65,48.61,23.2,False
2025-10-26T04:48:55.475814,Swing,L1,L1-M1,P-ABS,B251026-421,OP-1,expert,19.9,ok,73.9,73.5,51.8,5.03,3.78,126.0,14,1763,1.47,30.05,4.09,61.44,24.5,False
2025-10-26T05:05:55.475814,Swing,L2,L2-M1,P-PEEK,B251026-653,OP-4,intermediate,14.0,ok,75.4,75.0,54.7,6.06,3.27,137.6,9,1238,1.6,12.8,3.79,53.58,27.2,False
2025-10-26T06:10:55.475814,Night,L4,L4-M1,P-PP,B251026-411,OP-2,intermediate,8.1,ok,75.8,74.7,60.6,5.57,3.64,140.9,13,1832,2.41,27.47,3.78,62.96,22.3,False
2025-10-26T06:26:55.475814,Night,L2,L2-M6,P-NYLON,B251026-511,OP-2,intermediate,7.4,ok,74.6,76.2,48.8,5.88,3.6,109.9,8,878,2.29,23.76,5.15,48.24,27.8,False
2025-10-26T06:57:55.475814,Swing,L4,L4-M2,P-ABS,B251026-181,OP-5,expert,19.7,ok,72.6,71.8,40.6,5.62,3.45,131.1,10,1311,1.15,9.78,2.56,53.61,22.2,False
2025-10-26T07:47:55.475814,Night,L3,L3-M5,P-ABS,B251026-940,OP-3,novice,16.2,ok,76.0,75.9,58.5,5.77,3.14,96.4,9,867,3.41,18.08,5.16,47.96,25.8,False
2025-10-26T08:06:55.475814,Night,L2,L2-M5,P-PEEK,B251026-177,OP-4,intermediate,16.0,ok,75.2,76.7,51.6,5.86,2.81,116.0,14,1623,2.74,35.61,4.42,60.34,20.7,False
2025-10-26T08:16:55.475814,Day,L1,L1-M6,P-PP,B251026-269,OP-2,intermediate,23.6,due_soon,72.6,72.7,48.4,5.26,3.94,128.4,13,1669,1.41,22.45,5.36,59.67,24.1,False
2025-10-26T08:21:55.475814,Day,L1,L1-M6,P-PP,B251026-616,OP-5,expert,0.5,ok,75.0,76.9,53.8,5.38,2.97,133.8,10,1338,1.26,18.06,3.26,55.81,24.0,False
2025-10-26T08:34:55.475814,Day,L1,L1-M6,P-NYLON,B251026-817,OP-4,intermediate,18.0,ok,73.9,77.6,42.3,5.92,3.18,122.8,9,1105,2.37,23.08,2.48,52.33,25.6,False
2025-10-26T08:44:55.475814,Night,L1,L1-M3,P-PP,B251026-186,OP-5,expert,12.6,ok,74.8,74.0,67.2,5.5,3.21,114.0,9,1025,2.2,26.22,3.85,49.83,23.9,False
2025-10-26T08:50:55.475814,Swing,L1,L1-M2,P-PP,B251026-642,OP-2,intermediate,6.6,ok,74.3,75.3,54.7,5.94,3.56,114.0,15,1709,1.91,23.81,3.33,61.2,21.0,False
2025-10-26T09:18:55.475814,Day,L1,L1-M2,P-ABS,B251026-326,OP-1,expert,14.5,ok,74.6,77.0,48.7,5.56,3.5,140.5,14,1966,1.45,21.13,3.11,65.93,21.6,False
2025-10-26T09:57:55.475814,Swing,L3,L3-M4,P-PEEK,B251026-229,OP-3,novice,29.2,due_soon,72.3,71.9,60.8,5.55,3.9,92.1,14,1288,2.89,42.58,7.28,53.29,21.8,False
2025-10-26T10:25:55.475814,Swing,L1,L1-M1,P-PP,B251026-196,OP-1,expert,25.9,due_soon,75.7,74.9,41.8,5.41,3.22,119.1,15,1786,1.05,22.46,6.5,62.32,25.2,False
2025-10-26T10:34:55.475814,Swing,L2,L2-M2,P-ABS,B251026-683,OP-4,intermediate,12.3,ok,74.7,75.7,52.1,5.54,3.04,140.5,11,1545,2.11,38.8,5.37,58.72,20.7,False
2025-10-26T13:00:55.475814,Day,L1,L1-M2,P-PEEK,B251026-381,OP-2,intermediate,7.9,ok,72.1,71.2,51.6,5.35,2.95,128.9,12,1546,1.27,20.23,0.74,57.17,27.3,False
