date,week,sku,product_category,gender,marketplace,fulfillment,color,size,list_price,discount_pct,promo_type,ad_spend,impressions,clicks,cvr,units_sold,revenue,rating,reviews,competitor_price_index,stock_on_hand,stockout_flag,holiday_flag
2024-01-01,1,LE-APP-M-OXFORD,Apparel,Men,Amazon,FBA,Gray,XS,73.86,0.157,Coupon,10.98,3732,31,0.0329,13,809.19,4.22,698,0.961,329,0,0
2024-01-01,1,LE-APP-M-POLO,Apparel,Men,Amazon,FBA,White,XL,40.35,0.116,LightningDeal,58.68,6016,67,0.0373,29,1034.62,4.16,854,0.946,370,0,0
2024-01-01,1,LE-APP-W-CARDI,Apparel,Women,Amazon,FBA,Blue,L,59.54,0.052,None,109.4,6957,69,0.0322,11,620.86,4.26,778,0.975,516,0,0
2024-01-01,1,LE-APP-W-CHINO,Apparel,Women,Amazon,FBA,White,L,72.35,0.123,Coupon,57.28,5814,60,0.0391,27,1712.77,4.28,895,0.817,363,0,0
2024-01-01,1,LE-FOOT-M-BOOT,Footwear,Men,TargetPlus,Seller,Khaki,L,122.98,0.134,None,14.5,4116,40,0.0384,8,852.43,4.29,42,0.808,419,0,0
2024-01-01,1,LE-FOOT-W-SNEAK,Footwear,Women,Amazon,FBA,Khaki,M,71.3,0.142,None,38.09,5823,66,0.0344,17,1039.83,4.09,626,0.949,320,0,0
2024-01-01,1,LE-HOME-BEDDNG,Home,Unisex,Amazon,FBA,White,M,151.34,0.217,None,234.54,8071,69,0.0371,5,592.46,4.19,681,0.89,421,0,0
2024-01-01,1,LE-HOME-BTOWEL,Home,Unisex,Walmart,FBA,Blue,L,29.26,0.168,None,30.36,5327,65,0.0379,20,487.12,4.25,425,0.893,348,0,0
2024-01-01,1,LE-OUT-M-PARKA,Outerwear,Men,Walmart,FBA,Khaki,XL,193.9,0.085,None,36.41,9371,113,0.035,16,2839.01,4.13,149,0.93,302,0,0
2024-01-01,1,LE-OUT-W-DOWN,Outerwear,Women,TargetPlus,FBA,Green,XL,231.5,0.22,None,27.55,8478,88,0.0377,11,1987.0,4.23,284,0.765,133,0,0
2024-01-01,1,LE-SWIM-M-TRUNK,Swimwear,Men,Amazon,FBA,Green,XL,51.15,0.346,LightningDeal,26.25,3577,48,0.0402,21,702.49,4.22,781,0.698,371,0,0
2024-01-01,1,LE-SWIM-W-ONEPC,Swimwear,Women,TargetPlus,Seller,White,M,93.19,0.194,Clearance,19.51,3289,59,0.038,30,2253.57,4.09,247,0.882,470,0,0
2024-01-01,1,LE-UNIF-K-POLO,Uniforms,Kids,Amazon,FBA,Blue,L,19.12,0.229,DealOfDay,19.14,4600,34,0.0381,68,1002.92,4.12,712,0.702,334,0,0
2024-01-01,1,LE-UNIF-K-SKIRT,Uniforms,Kids,Amazon,FBA,Gray,XL,24.54,0.114,None,18.05,4317,31,0.0368,19,413.29,4.21,989,0.899,390,0,0
2024-01-02,1,LE-APP-M-OXFORD,Apparel,Men,TargetPlus,FBA,Black,L,68.02,0.166,Coupon,41.14,5522,58,0.0381,13,737.63,4.21,412,0.819,333,0,0
2024-01-02,1,LE-APP-M-POLO,Apparel,Men,TargetPlus,FBA,Blue,XS,38.51,0.162,LightningDeal,3.07,1723,21,0.0378,13,419.43,4.16,271,0.815,370,0,0
2024-01-02,1,LE-APP-W-CARDI,Apparel,Women,TargetPlus,FBA,Green,XS,56.92,0.136,LightningDeal,30.09,4784,59,0.036,21,1033.2,4.09,312,0.845,390,0,0
2024-01-02,1,LE-APP-W-CHINO,Apparel,Women,Amazon,Seller,Green,M,78.62,0.317,Coupon,50.68,5930,76,0.0379,41,2200.13,4.16,666,0.641,421,0,0
2024-01-02,1,LE-FOOT-M-BOOT,Footwear,Men,Amazon,FBA,Navy,M,127.77,0.244,None,121.24,7034,80,0.039,12,1159.59,4.28,611,0.752,306,0,0
2024-01-02,1,LE-FOOT-W-SNEAK,Footwear,Women,Amazon,FBA,White,S,65.37,0.123,DealOfDay,57.16,6111,89,0.0425,28,1604.78,4.36,941,0.813,539,0,0
2024-01-02,1,LE-HOME-BEDDNG,Home,Unisex,TikTokShop,Seller,Black,L,160.0,0.179,None,12.49,3716,29,0.0375,4,525.14,4.23,378,0.871,418,0,0
2024-01-02,1,LE-HOME-BTOWEL,Home,Unisex,TikTokShop,Seller,Black,S,27.24,0.096,Coupon,11.85,3313,33,0.0342,22,541.56,4.31,323,0.959,424,0,0
2024-01-02,1,LE-OUT-M-PARKA,Outerwear,Men,Amazon,FBA,Gray,M,198.06,0.009,None,146.1,13159,187,0.0326,12,2354.42,4.04,668,0.903,482,0,0
2024-01-02,1,LE-OUT-W-DOWN,Outerwear,Women,Amazon,FBA,Gray,XL,233.98,0.12,None,16.97,7453,88,0.0366,15,3088.86,4.2,768,0.889,205,0,0
2024-01-02,1,LE-SWIM-M-TRUNK,Swimwear,Men,Walmart,FBA,Navy,XL,48.3,0.233,LightningDeal,21.96,3843,59,0.0394,20,740.99,4.22,162,0.782,228,0,0
2024-01-02,1,LE-SWIM-W-ONEPC,Swimwear,Women,Amazon,FBA,White,XL,93.46,0.393,Clearance,36.37,4431,76,0.0385,33,1871.95,4.06,773,0.63,414,0,0
2024-01-02,1,LE-UNIF-K-POLO,Uniforms,Kids,TikTokShop,FBA,Khaki,L,19.8,0.151,Clearance,30.77,5214,38,0.0415,25,420.3,4.27,316,0.793,383,0,0
2024-01-02,1,LE-UNIF-K-SKIRT,Uniforms,Kids,Amazon,FBA,Khaki,XL,23.05,0.185,DealOfDay,47.39,6009,49,0.0371,40,751.27,4.09,522,0.78,362,0,0
2024-01-03,1,LE-APP-M-OXFORD,Apparel,Men,Walmart,FBA,Green,M,69.59,0.123,None,26.48,5117,53,0.0342,8,488.24,4.08,269,0.902,547,0,0
2024-01-03,1,LE-APP-M-POLO,Apparel,Men,Walmart,Seller,Black,M,37.94,0.344,LightningDeal,12.58,4080,39,0.0401,34,846.69,4.22,62,0.648,407,0,0
2024-01-03,1,LE-APP-W-CARDI,Apparel,Women,TargetPlus,Seller,Red,L,55.93,0.0,None,86.71,6842,65,0.029,8,447.44,4.09,17,0.963,377,0,0
2024-01-03,1,LE-APP-W-CHINO,Apparel,Women,Amazon,FBA,White,M,81.42,0.203,LightningDeal,50.08,6124,57,0.0388,20,1297.43,4.2,854,0.834,474,0,0
2024-01-03,1,LE-FOOT-M-BOOT,Footwear,Men,TikTokShop,Seller,Black,L,133.11,0.107,Coupon,3.52,2039,22,0.0315,8,951.05,4.16,47,0.961,419,0,0
2024-01-03,1,LE-FOOT-W-SNEAK,Footwear,Women,Amazon,FBA,Gray,XL,65.65,0.079,Clearance,35.55,5162,72,0.0424,23,1390.69,4.33,746,0.817,410,0,0
2024-01-03,1,LE-HOME-BEDDNG,Home,Unisex,TikTokShop,Seller,Red,XL,147.12,0.179,Coupon,8.49,3270,39,0.0365,5,603.87,4.14,121,0.783,559,0,0
2024-01-03,1,LE-HOME-BTOWEL,Home,Unisex,Amazon,FBA,Blue,L,27.89,0.222,None,36.25,5474,60,0.0366,33,716.03,4.17,865,0.741,284,0,0
2024-01-03,1,LE-OUT-M-PARKA,Outerwear,Men,Walmart,Seller,White,L,202.12,0.083,None,4.48,4234,56,0.0333,12,2223.33,4.05,194,0.945,404,0,0
2024-01-03,1,LE-OUT-W-DOWN,Outerwear,Women,Walmart,Seller,Blue,L,225.12,0.235,None,18.07,7323,88,0.042,16,2755.08,4.43,276,0.702,257,0,0
2024-01-03,1,LE-SWIM-M-TRUNK,Swimwear,Men,Amazon,Seller,Khaki,M,51.61,0.323,DealOfDay,50.6,3929,85,0.0384,31,1082.37,4.11,841,0.649,566,0,0
2024-01-03,1,LE-SWIM-W-ONEPC,Swimwear,Women,Walmart,Seller,Red,XL,82.85,0.381,Coupon,24.26,3472,71,0.0372,34,1742.46,4.11,30,0.6,351,0,0
2024-01-03,1,LE-UNIF-K-POLO,Uniforms,Kids,Amazon,FBA,Green,M,17.31,0.191,LightningDeal,87.08,6458,62,0.0377,61,853.99,4.15,723,0.717,461,0,0
2024-01-03,1,LE-UNIF-K-SKIRT,Uniforms,Kids,Walmart,Seller,Blue,L,23.03,0.047,LightningDeal,20.96,4500,39,0.0367,21,460.71,4.15,424,0.935,402,0,0
2024-01-04,1,LE-APP-M-OXFORD,Apparel,Men,Amazon,FBA,Gray,L,70.16,0.184,None,60.16,6068,56,0.0358,9,515.26,4.14,626,0.832,406,0,0
2024-01-04,1,LE-APP-M-POLO,Apparel,Men,Amazon,FBA,Black,XL,39.31,0.212,None,14.51,4019,34,0.0331,20,619.35,4.0,920,0.75,318,0,0
2024-01-04,1,LE-APP-W-CARDI,Apparel,Women,Walmart,FBA,Black,S,59.1,0.29,DealOfDay,19.55,4761,54,0.0391,40,1677.74,4.15,631,0.682,343,0,0
2024-01-04,1,LE-APP-W-CHINO,Apparel,Women,TargetPlus,FBA,White,XL,78.62,0.24,None,6.74,3084,26,0.0363,12,716.79,4.15,425,0.746,461,0,0
2024-01-04,1,LE-FOOT-M-BOOT,Footwear,Men,Amazon,FBA,Gray,S,125.41,0.048,Coupon,114.7,7141,75,0.0396,13,1552.71,4.33,830,0.867,400,0,0
2024-01-04,1,LE-FOOT-W-SNEAK,Footwear,Women,TargetPlus,FBA,Khaki,S,65.5,0.314,Clearance,36.56,5598,69,0.0399,33,1483.0,4.15,352,0.631,435,0,0
